tittle,review,stars
Disappointed with the officer of lines,"Aku menggunakan jasa penerbangan lewat udara maaf bukan maksud menyombongkan diri. Rasanya sudah berkali kali. Dari pesawat yang mahal sampai yang termurah pun sudah pernah saya naiki. Well di sini saya bukan complaint soal pelayanan di dalam pesawat, well they service was good. Tapi saya bener bener kecewa dengan pelayanan lines offices Tadi siang,sekitar jam 11 an waktu Jakarta setempat, batik officer yang ada di dalam bandara soekarno hatta, di saat saya panic di karnakan jaket saya ketinggalan di pesawat, karna pesawat saya line otomatis saya mencari agent nya lines dong, gak mungkin mau nyari  airline. Tapi waktu saya masuk ke dalam officer nya ada Mbak Mbak yang cantik lupa mencatat namanya, disitu Mbak nya lagi asik mainin hape, ketika saya datang pun dia agak males2 an nge jawab saya yg sedikit agak panik. Di saat saya Tanya di mana bisa ke lost and found untuk mendapatkan jaket aku kembali Atau at least dia bisa membantu saya utk menanyakan ke petugas Dari badan lines yang bertugas ngecek di dalam pesawat . Tapi si Mbak nya Cuma ngasih petunjuk untuk Tanya ke security Dan ketika aku Tanya ke security mereka tetap menyarankan untuk ke badan lines officer. Akhirnya saya bolak balik kesana kemarin naik turun lift dgn membawa koper smp 3kali gak menemukan titik kejelasan. Dan saya perlu tegaskan disini saya juga ada penerbangan lanjutan ke Shanghai setelah landing Dari Denpasar ke Jakarta,Jadi Dari pada saya ketinggalan pesawat selanjutnya akhirnya saya merelakan jaket saya yang boleh di kata bukan lah jaket mahal juga tapi mengingat Shanghai sekarang lagi musim dingin jadi saya perlu jaket. Tapi saya Cuma kecewa sama pelayanan yang menurut saya tidak professional sama sekali. Bapak manager yang terhormat mungkin bisa lebih selective lagi dech untuk memperkerjakan seorang karyawan jangan pilih karyawan yang hanya makan gaji buta aja.Duduk santai di ruangan ber AC mainan hape. Sayang banget bpk, di luar sana mungkin masih banyak Mbk Mbk yang lain nya yang bisa kerja lebih bagus lagi. Kirannya cukup sekian uneg uneg kekecewaan saya terhadap karyawan lines. Kalau di Tanya would u like to flight again with lines??? my answer probably NOT if they don’t know how to improve the service. I will prefer to buy another flight.",1
Naek singa terbang,"Alahamdulillah...sejak tahun 2012 sudah ada penerbangan lansung balikpapan - bandung dan sebaliknya 2 kali setiap harinya Penerbangan lansung dari bandung menuju balikpapan di pagi hari, dan sebaliknya dari balikpapan menuju bandung di sore hari Penerbangan yang tidak langsung, karna harus transit di banjarmasin dari bandung berangkat sore menuju balikpapan, begitupun sebaliknya dari balikpapan menuju bandung di pagi hari Kedua penerbangan tersebut di operatori oleh maskapai  air yg menggunakan boeing 737 seri 800 ER, yang cukup nyaman hanya tidak terlalu leluasa di bagian kaki. Tapi buat saya hal itu tidak terlalu menjadi masalah, karena menahan peregangan kaki selama 3 jam maksimal (untuk transit flight) masih lebih baik bila dibandingkan harus mampir ke airport di jakarta dulu. Dan alhamdulillah selama ini naek singa udara dari dan menuju bandung ga pernah delay lama, paling banter cuman dapet air mineral doang. Konon katanya apron di bandara husein bandung terbatas dan banyak yg make, so kalo sampe delay bakal kena charge yg lumayan",5
Penerbangan perbaikan kualitas yang berproses,"Alhamdulilah dari proses check in, boarding smp flight pun berjalan lancar. Tidak ada delay atau kendala apapun.",3
Rejeki ga pake delay,Alhamdulillah mungkin lagi rejekinya baik jadi pesawat ga pake delay. pas banget jam berangkat udah disuruh masuk ke pesawat kiroin naik  bakal kena delay gilak,5
 air,"alhamdulillah sekarang  air jarang banget delay , dengan harga murah bisa ontime cuma sayang pramugari atidak jutek kurang perduli dengan pelanggan atau konsumen",3
ac kurang dingin,"alhamdulillah selama terbang dengan  saya g pernah ngalamin delay yang harus nunggu berjam-jam.untuk penerbangan kali ini naik  ekonomi berasa naik bis ekonomi deh. ac g dingin duh,,",3
Amazing!,"Amazing! Sekian lama pakai , baru pertama kali saya dapat layanan yang wow. Boarding lebih awal dari biasanya, dan tiba sampai tujuan pun lebih cepat. Tumben tidak ada antrian take off di Cengkareng pula. 
Hal yang masih perlu diperbaiki adalah counter check in. Sungguh masih tidak teratur untuk antrian mulai dari mana. Petugas perlu lebih sering lagi mengingatkan para penumpang dalam antrian.",4
Pesawat baru,"an Low cost airlines, saya terbang dengan Boeing 737 - 900 ER.. pesawat yang sangat bagus tapi menurut saya pilotnya kurang pengalaman saat take off dan landing, delay 30 mnts",3
Perjalanan panjang dengan bus ke pesawat,"Anda harus melalui keamanan hanya untuk check-in, yang berarti siapa pun yang mengantar Anda di bandara tidak akan bisa mengikuti Anda hanya untuk mendapatkan boarding pass dan check-in bagasi Anda. Batas bagasi check-in adalah 20kg per orang tetapi dapat terdiri lebih dari satu buah. Jika Anda bepergian sebagai keluarga yang terdiri dari 3 orang seperti yang kami lakukan, itu adalah 60 kg untuk dibagikan terlepas dari no. potongan. Kami dipanggil ke gerbang lebih awal setelah kami melewati imigrasi keluar. Ternyata ada perjalanan bus yang sangat lama di bus yang penuh sesak ke pesawat yang sebenarnya. Karena ada orang yang tidak mengetahui hal ini yang datang terlambat ke gerbang untuk mengejar bus, jelas penerbangan tidak berangkat tepat waktu. Penerbangan sebenarnya pendek dan lancar, hampir 2 jam lamanya. Tidak ada minuman yang disajikan atau dijual.",3
Selalu delay!,"Antrean bagasi, layanan lambat. Salah informasi seperti biasa :( tapi tetap yang termurah..",2
Maskapai penerbangan terburuk di dunia,"Apa sekelompok pencuri merampok. Jangan kelebihan berat badan dan cobalah untuk menyelesaikannya secara online. Situs web ini gr8 sampai Anda perlu melakukan apa yang diperlukan untuk membayar ekstra kg di bagasi Anda. Ketika Anda sampai di bandara dan mengatakan situs web sedang down, mereka tidak peduli. Maksud saya, mereka tidak peduli mereka meminta maaf dan Anda harus membayar dua kali lipat dari yang Anda bayarkan untuk tiket hanya untuk membawa 7 kg bagasi. Ini benar-benar lelucon dalam skala 1 hingga 10, saya akan memilih - 100",1
"Menyedihkan, terburuk dan curang","Apa yang akan saya katakan? Segala sesuatu tentang Air adalah yang terburuk. Harga tiket saya dari Jakarta ke Bangkok hanya $150 tetapi mereka menagih saya $250 untuk bagasi check-in saya yang hanya 12Kg. Saya tidak mengerti mengapa mereka menipu pelanggan seperti ini? Apakah ada logika bahwa tarif bagasi check-in adalah dua kali lipat tiket pesawat saya? Secara keseluruhan kabinnya paling parah, kaki saya sakit selama 3 jam, bahkan tidak bisa duduk di pesawat ini. Tidak akan pernah terbang dan saya tidak merekomendasikan ini sama sekali. Mohon untuk tidak menggunakan layanan Air ini dan biarkan kami membuat maskapai ini menutup layanannya",1
Sedikit tidak nyaman,"Apa yang bisa saya katakan adalah maskapai ini baik-baik saja untuk seseorang yang menginginkan tiket harga murah. Ketika saya memesan tiket, saya dapat melihat bahwa itu agak aneh. Ketika waktu berjalan mendekati waktu pemesanan, harga meningkat. Aku sangat bingung. Dan mereka memotong beberapa layanan juga jika saya benar.",3
sebagai delay terakhir dan masalah dengan bagasi,"Apa yang harus dikatakan ... Lebih murah tetapi sebagian besar waktu delay dan berantakan saat naik, dengan orang-orang dengan 5 tas jinjing dan kru tidak dapat mengelolanya. Terkadang tas saya juga lebih besar dari yang diperbolehkan tetapi tetap saja tas, saat Anda naik 5 tas, seseorang harus menghentikan Anda setidaknya untuk menghormati penumpang lain. Itu selalu merupakan mimpi buruk tetapi jika Anda ingin menghemat uang, masuk akal untuk memesan  .",2
Inilah yang Anda harapkan dari biaya rendah,"Apa yang harus dikatakan, penerbangan kembali delay selama 1 jam, tetapi ini terlihat normal untuk bandara Surabaya, saya memiliki pengalaman yang sama dengan penerbangan saya sebelumnya. Mengenai semua hal lain, inilah yang Anda harapkan dari biaya rendah",4
Empat penerbangan tepat waktu,Apakah  telah mengangkat permainan mereka? Empat penerbangan ke Manado dan pulang lagi semuanya berangkat SEBELUM waktu keberangkatan yang ditentukan. Siapa bilang zaman keajaiban sudah berakhir? Saya senang atas perubahan ini. Saya tidak akan lagi menyebut  sebagai Berbohong.,4
Tidak ada tv lagi kah??,"Apakah sudah tidak ada layanan tv/ monitor? beberapa kali kemarin naik ada tv tapi tidak hidup, pramugari bilang sistemnya belum tersedia, sekarang malah tvnya gak terpasang disetiap kursi, supaya dapat dijelaskan agar customer dapat memilih berdasarkan budget dan fasilitas yang memang real ada.",1
Nyaman terbang dengan ,"april 2019 kemarin saya dapat tugas untuk mengikuti pelatihan di Batam. dengan pagu yang sudah di tetapkan oleh kantor saya bekerja akhirnya pilihan terbang saya jatuhkan ke maskapai . sebenarnya kalau dari sby-batam bisa ditempuh kurang lebih 2 jam waktu perjalanan. berhubung saya transit jadi destinasi sampai batam sekitar kurang lebih 4 jam.
jadi jarak yang saya tempuh dari sby-jakarta, jakarta-batam. sby-jakarta alhamdlh perjalanan lancar...dapat air minum kemasan dan roti satu biji lumayan buat menganjal perut. dari jakarta-batam perjalanan agak terganggu sedikit karena cuaca diatas, sempat deg-deg an banget tapi alhamdlh...alhamdlh pilotnya hebat..dari jakarta-batam penumpang dapat jatah kue 2pcs dan air minum kemasan dalam gelas plastik yang bisa diisi ulang. bisa juga minta kopi tapi saya kurang tau apakah kopi itu gratis atau tidak.
penerbangan waktu berangkat dari surabaya-jakarta on time/ tepat waktu begitu juga waktu jakarta-batam juga on time dan tepat waktu jadi sampai di Batam sesuai dengan jadwal dan saya tidak terlambat menghadiri pelatihan..terima kasih ya ",5
Armadanya banyak :-),"Armada  banyak jurusannya, jadi meskipun kadang terlambat bisa dimaklumi. Utamanya harga tiketnya murah.",3
Pendaratan yang buruk,"Armada pesawat masih lumayan baru, kru udara cukup bersahabat, tapi proses pendaratan sangat keras sehingga membuat penumpang terguncang",2
Paling tidak nyaman!!!,"Armada pesawat mereka adalah Boeing 737-900ER. Model baru? Ya, jauh lebih lama dibandingkan model 737 lainnya. Pesawat yang lebih besar, ruang yang lebih besar bukan? Ya, ke maskapai penerbangan. Oleh karena itu, mereka memaksimalkan beban penumpang, dengan menempatkan lebih banyak kursi. Kompromi terbesar adalah ruang kaki dan kursi tidak bisa direbahkan. Jika Anda tingginya 6 kaki, Anda harus duduk dengan lutut terangkat dan mengetuk ke kursi depan, maka dengan kaki menggantung. Tidak ada minuman di kapal. Anda mungkin perlu membeli di pesawat, tetapi sebagian besar hanya makanan ringan. Saat Anda berada dalam penerbangan 2 jam, akan sangat tidak nyaman tanpa layanan di pesawat sama sekali. Tidak ada hiburan, tidak ada minuman, tidak ada ruang untuk kaki, tidak ada sandaran kursi,...",2
Bandung Jogja PP Dengan  Air,"As always delay. Menurut pengalaman saya,  air Bandung-Jogja selalu delay 20 menit. Saat take off kita bisa melihat Bandung di sore hari. Jika cuaca cerah, kita juga bisa melihat sunset. Ketika tiba di Jogja, kita bisa melihat kelap-kelip Kota Jogja di malam hari yang tidak kalah indah!  air adalah satu-satunya maskapai Bandung-Jogja.",3
Kenapa harus pindah ke kertajati sih,"ASUUUUUUU kenapa flight pagi  air pku-bdo harus pindah ke kertajati sih? Nyusahin aja bgst padahal udh rutin langganan flight ini sejak lama, tolong maskapai agar dipikirkan lagi buat pindah ke kertajati, mengingat penerbangan ini selalu penuh dan memiliki banyak penumpang langganan termasuk saya",1
Lebih Baik,"Atidak deg-degan ketika mendapat kabar hanya mendapat tiket pulang dari Kuala Lumpur, naik  Air. Namun, saya beruntung semua urusan lancar terutama penerbangan pulang tanpa keterlambatan.",3
"Aturan mencekik  Air, terlambat cek in 20 menit, tiket hangus.","Aturan cek in  air ini semakin mencekik penumpang, terlambat 20 menit tiket hangus. Bandara kecil sekelas Eltari dengan waktu 20 menit, masuk ke ruang tunggu tidak sampai 5 menit, naik ke pesawat 5 menit, masih tersisa waktu 10 menit. Anehnya kalau mereka yg terlambat berangkat karena masih menunggu penumpang transit (grup ), atau karena ada kesalahan teknis, yang ada hanya permohonan maaf dari pramugari. penumpang tidak pernah komplain, atau harga tiket tidak dikembalikan, minimal di kurangi, karena menimbulkan ketidaknyamanan bagi penumpang. Kalau aturan terlambat cek in, melewati batas waktu 30 menit di terapkan, harusnya juga kalau ada keterlambatan penerbangan karena kesalahan teknis maskapai  air, harus ada ganti rugi atau kompensasi dari maskapai. Mudah-mudahan uang yang hangus bisa bermanfaat bagimu, karena uang ini saya cari dengan keringat yang halal.",1
tidak direkomendasikan,"awak kabin sangat sangat sangat tidak sopan. dia benar-benar meneriaki saya karena mencoba memperbaiki barang bawaan saya yang rusak. YA DIA BERTERIAK PADA SAYA BUKAN MEMBANTU SAYA. Apakah membantu ibu dan bibi saya untuk menyimpan barang bawaan di kompartemen kepala atas dan coba tebak? dia terus berbicara seolah-olah dia adalah penumpang lain, bahkan penumpang di belakangku tetap diam karena aku tidak punya pilihan selain membantu keluargaku. ketika saya mencoba untuk duduk, dia terus berteriak agar saya duduk lebih cepat KETIKA ADA BANYAK BARANG YANG MEMBUAT SAYA SULIT UNTUK MELALUINYA. YA, SAYA TIDAK DIPERBOLEHKAN MENEMPATKAN RANSEL KARENA SAYA MEMBANTU MENYIMPAN BAGASI KELUARGA SAYA. MEMILIKI BEBERAPA HARGA PADA PELANGGAN ANDA MESKIPUN MEREKA LEBIH MUDA DARI ANDA LEWATKAN.",1
Maskapai Lumayan Full Entertainment,Awalnya ragu naik .. tapi ternyata ini lumayan juga.. entertainment-nya lengkap.. acaranya juga oke2... dapet makanan dan minuman... terus gak pakek delay lagi.. alias on time.. pelayanan juga mantepp..,4
Awalnya mencoba,"Awalnya saya ingin mencoba kelas premiumnya grup . Boarding pindah dari gate 6 ke gate 4, untung tak lama masuk pesawat. Masuk ruangan pesawat ""berasap"", ternyata seperti aroma terapi saja. dalam perjalanan proses take off dan landing agak kasar, 11/12 lah sama  atau Wings. Overall...pelayannya ok banget. Saran....bagi yang tak biasa jalan kaki terlalu lama. Pintu keluar peswat dengan pengambilan bagasi berjalan sekitar 30 menit.",4
It's Better,"Awalnya saya sempat ragu untuk membeli penerbangan ini, namun karena kondisi yang mendesak dan jadwal yang full, akhirnya saya terpaksa membeli penerbangan ini. Di hari menjelang keberangkatan saya, saya melihat berita dan beberapa jaringan media sosial yang menyatakan bahwa sedang ada banyak pesawat  yang delay dan sampai dipanggil oleh Mentri Perhubungan. Di hari keberangkatan saya, ternyata semuanya sudah kembali baik, bahkan boarding kami lebih cepat dari yang ditentukan. Tempat duduk yang nyaman dan kondisi yang tenang. Namun sangat disayangkan ada hard landing. Namun over all is good.",4
Lumayanlah,Awalnya sih ragu-ragu terbang dengan  air tapi karena waktu berangkat pas jadi tidak harus pagi2 ke airport dan beruntung tepat waktu tidak ada delay seperti banyak berita yang kita lihat dan dengar belakangan ini. Semua baik dalam penerbangan hanya waktu pendaratan sedikit kasar.,3
