stars,sentiment,review
5,positive,testimoni ttg negative utk alam agustus agustus libur bal pakai blm kecewa delayedpelayanan puas jadi bandara ngurah rai koper anak pecah komplain tugas airtidak sampe menit selesai terima uang ganti rugi proses sulit sulit dapat lagu untung bbrp sepupu bal kunjung jakarta utk tugas kantor jemput soekarno hatta sepupu pakai delayedso far puas kondisi kursi benah peremajaandiperbarui terima kasih
4,positive,bilang delay sekian delay selamat tuju
4,positive,skeptis tdk dipungkiri bantu banyak tuju terbang tawar tambah pilih sedia terbang sama on time
4,positive,bbrp terbang pakai lumayan on time salah penting faktor selamat terbang jarak pendek konsumsi roti minum terbang jarak entertainment saran bawa headphone kalo tinggal beli jarak seat lebar kaki usa tekuk keep up the good work
4,positive,sempat terbang business class jurus jakarta surabaya kursi no duduk lebar nyaman terbang alas utama coba kelas business class terbang pendek snack terbang salah puding mineral brownies pramugari profesional layan coba kelas business
5,positive,udah suka banget tampil cakep kursi nyaman leg room oke in flight entertainmentnya keren film up to date makan kemarin nasi plus ikan patin request minum take off landing smooth nyaman pokok keren
5,positive,delay waktusuatu capai pramugari cepat tanggap
5,positive,juanda cengkareng nomor terbang id on time proses check in lancar tugas sigap roti snack botol mineral bagi tumpang tidur taruh makan lipat kursi layan harga atas lcc
4,positive,airline alternatif harga tiket garuda indonesia mahal legroom lega cocok tubuh istri fleetnya modern operasi modern ng operasi garuda urus entertainment layar touchscreen milik mudah operasi layar sayang koleksi film terbang pilih musik
4,positive,usaha terbang group operasi mei jurus jakartasurabaya no flight id kelas sedia ekonomi bisnis kelas ekonomi ruang kaki luas inci sedia tv makan ringan minum gratis harga tiket bagasi kelas bisnis sedia fasilitas ruang kaki inci bagasi gratis jarak jalan km tempuh menit cepat ratarata km bawa bayi usia surat terang medis layan terbang berangkat datang berangkat datang boarding lambat menit take off antri menit total lambat pulang jadwal berangkat ckg alami lambat boarding take off menit kecewa hibur sedia hidang snack hibur tv terbang mulus take off terbang landingnya
5,positive,pilih suka jalan santai senang pilih film musik nikmat jalan bawa earphone headset nikmat tv kursi
5,positive,salah alternatif terbang pergi worth it nyaman harga jangkau makan saji lumayan friendly service
5,positive,buka rute upgsoq return pas tau buka rute tanggal oktober ambil flight harga promo murah riah row kosong rute populer udah inflight entertainment dihidupin jam flight attendant bagiin makan makan pilih ayam teriyaki nasi goreng minum mineral kopi teh darat cepat udah pelan banget ngerem ngoyo pilot udah jago banget inti puas salah full service makan kursi nyaman seat pitch lega kurang ife layar goresangoresan table tray bekasbekas tumpah minum bersih
4,positive,harga murah fasilitas bagus sayang alami lambat alas lambat mohon maaf lambat pas transit makasar turun ternyta pakai palu turun tinggal nunggu pesawat biar repot bawa barang repot pas periksa lari lari
5,positive,bosan jakarta kendari pramugari ramah makan nasi beef bintang lupa biar jalan bosan movie layar pulang jakarta hujan deras putar putar bandara tunggu jalur baik jakarta cepat cepat menit kira mantap jempol 
4,positive,group ragu maskapi takut delay group delay telantar tumpang salah pilih
4,positive,terbang gruptepat ruang kabin nyamanharga kompetitif
4,positive,nyaman tumpang longgar duduk hibur perjanalan monitor depan duduk tumpang
5,positive,pilih banding sodaranya telat layar monitor nonton jadi terbang nyaman harga jangkau sedia roti tumpang
4,positive,pilih pergi duluawalnya gimanaaa gitu denger nama batiktapi terbang pertamakalilangsung jatuh cinta si keseluruhanoke
4,positive,group tawar layan full service layan bagasi gratis batas makan ringan video on demand vod lengkap headphone
4,positive,antar jalan dinas alas harga reasonable tawar fasilitas terbang aman alami delay cancelled flight ubah jadwal hubung sebelumya suka jalan transit cgk pku konsumsi tumpang nikmat hibur layar sentuh kursi tumpang isi ratus film acara tv podcast games terbang tumpang charge hp usb plug sedia
4,positive,salah full service jangkau jadwal terbang cepat schedule nyaman terbang sama layan dlm terbang senang
4,positive,relatif on time layan kabin fasilitas entertainment on flight senang bosan jalan makan juha
4,positive,turun kualitas banding th fasilitas tv sedia website check in alami masalaj web check in suka pergi jarak kursi lega free bagasi meal saran tingkat kualitas on time performance jaga fasilitas citra indonesia
4,positive,salah senang jadwal on time layan ramah makan hibur filmfilm tarik
4,positive,salah terbang favorit jarak lengkap tv film lumayan bunuh bosan jarak kursi lebar kaki lumayan nyaman sayang tv mati jarak pendek tv fungsi
4,positive,salah pilih bijak harga layan muas sedia tv hibur jalan snack minum terbang tgl sept am surabaya aga ttg selamat terbang live layar tv
4,positive,guna jalan pulang solo jakarta sedia cek in terbang on time layan kabin kalah milik negara informasi ruang kemudi dengar tumpang
4,positive,terbang benah delayed seram layan flight delayed alami rusa cari ganti cepat delayed paham alas selamat penting delayed snack tunggu terus benah
5,positive,terbang singa nyaman untung alam flying milik rute
4,positive,beberapakali cermat tepat terbang ganggu jadwal depan tambah menu makan tambah poin samping layan ramah kru awak kabin jadi terbang nyaman
5,positive,terbang murah negara murah terima kasih bantu libur sesuai rencana
5,positive,benarbenar fantastis alam grup singa terbang jt atur lepas landas ramah kru unggul harap terbang singa ajar terbang panutan bagus
5,positive,berangkat bandara rembele kabupaten bener riah pagi transit bandara kuala namu batam jalan takengon surabaya on time surabaya tiket thanks indonesia
4,positive,berangkat bal jakarta selamatpelayanan pramugari ramah baikseat lumayan
5,positive,teman travel agent tawar harga promo bisnis class jogja pekanbaruawalnya ragu harga jt nikmat layan bisnis classternyata proses chekin tugas arah keeksekutive loungepelayanan super bandara pesawat
4,positive,beda saudara terbang andal tepat nyaman kabin tarif terbang sorong kompetitif banding sriwijaya tawar segment suguh makan menang garuda indonesia
4,positive,hubung promoakhir libur murah harga pas fasilitas okehanya tepat terbang nyarecomended flight budget pas
4,positive,bersih rapi peswat pesawat bersih harga jangkau lcd hibur include snack
4,positive,bersih roti murah murah flight attendant ramah proses booking dst mudah pesan traveloka alesan bisnis cancel proses cancellnya mudah
4,positive,tentang ulas temu terbang staf checkn ramah boarding efisien kursi jatuh salah model aman asia layan troli laju lorong cepat membuangbuang
4,positive,spesial normal lowcost beli makan minum papan menu proposisi belanja bebas bea jakartadenpasarjakarta juta ribu rupiah indo murah cepat
4,positive,lambat bicara kadang untung kaaren lambat serasa ditungguin terbang murah tunggu pramugari cantik ramah pramugari terbang ratarata tembok konsumen ramah tulus digodain tumpang jail
5,positive,boarding layan flight attendant prima pilot ngasih bonus atraksi take off bonus view landscape kota semarang eksotis jelang landing biasaroda jejak landas pacu
4,positive,booking tiket loket checkin infoin ganti denger jadwal sesuai fasilitas bagus banding karna kursi sedia tv lagu film game
4,positive,april lalukebetulan tugas jakartakarna sempit harga tiket mahal harga tiket mdcjkt jutanormalnya juta alternatif mes tiket manadojakarta transit surabaya harga pegang boarding pass jt mdcsubjk santai ruang tunggu dengar umum terbang jt delay terbang connect jakarta tawar pindah terbang direct mdcjkt biaya tambah sedikit alhasil nikmat fasilitas terbang harga tiket
4,positive,cekin cepat layan ramah makan minum lombok denpasar delay ambil bagasi harga standar hibur terima kasih
4,positive,checkin cepat kru darat efisien banding kru darat cebu pacific buruk konter buka kerja gerak cepat lambat harap murah jalan singkat harga
5,positive,coba bawa power bank takut alami ganggu pd layar monitor mencharder hpnya music pilih servis muas layan darat istimewa
4,positive,crew ramah bersih layan muas delay tonton filmserial tv jalan harga muas
4,positive,layan pramugari ramah makan terbang menjdai nilai plus hehehe
4,positive,lumayan layan fasilitas dans sarana prasarana budget keluar delay tebang pekanbaru
4,positive,rangka jalan dinas rombong lumayan makan layan lionlah makan standar pramugari sok angkuh bantu loh jgn ratu cantik dlm
4,positive,rangka tugas kantor medan senin tanggal april terbang id berangkat terminal bandara soekarno hatta bandara kualanamu medan terbang tepat berangkat departure jakarta kota medan jadwal tugas sesuai rencana siap layan awak kabin flight attendant service menu makan nasi liwet tambah potong roti mineral
4,positive,amdk aqua ml roti vegetarian minta makan via internet pilih film gagal putar nikmat hibur telinga siap bawa earphone mm akan nikmat film bisu
4,positive,bal surakarta harga tiket lumayan jangkau pramugari ramah sayang delay
4,positive,medan kualanamu surabaya transit halim kondisi counter tiket bandara kualanamu counter antri banding counter saudara layan tugas ramah kabin lumayan nyamanjarak kursi lbh lebar banding terbang medan jakarta halim ransum makan pilih nasi goreng mie goreng lumayan halim surabaya tempuh mt snack roti take off landing lbh lembut banding saudara sayang led tv fasilitas hibur flight entertaintment tiada led tv bangku lepas alas lbh pasang fasilitas tambah terbang hibur kelas sejajar garuda harga lbh murahkompetitif
4,positive,segi layan usaha baik baik delay tubuh ruang kaki nyaman
4,positive,take offnya terlabat sampai balikpapan pas moga terbang pulang sore hari
5,positive,delay tanggung snack kecewa lambat
4,positive,delay bawa lambat layan ok makan ok entertainment ok
4,positive,harga tiket murah rute jadi terbang murah terbang nyaman garuda check in cepat sih toleransi tugas ramah layan panggil boarding telat lounge pikir telat banget tumpang kabin tumpang tumpang mana row duduk isi udara tanda kena sabuk kam mati visa tidur suasana kabin bersih nyaman kes eksklusif banding saudara kandung sriwijaya sayang pramugari nggak murah senyum kes jutek entertain jalan lumayan hilang bosan headset beli rp sedia garuda koleksi film tambah lagu putar makan jalan lumayan kemas sriwijaya tebih bawah garuda standart habis santap sedia pilih minum teh kopi lengkap garuda sih bagus nilai plus bagi koran gratis
4,positive,jalan nyaman harga mahal ukur jalan bisnis
5,positive,senang hati terbang terbang manis landing pesawatnyasayangnya makan majalah atap staf darat sangatvwelcome ramahpokoknya ubah oke
4,positive,karena cepet mojokerto senagn banget terbang pulang pergi surabaya bandung istimewa ndak delay tingkat layan
5,positive,lengkap desert minum makan sedia terbang nyaman jakarta to pekanbaru
5,positive,ulas untung halhal terbang lombok bal mes agen jalan lombok mudah terbang jalan can bayar kilo dolar bagasi daftar checkin tahu riset terbang staf konter awak ramah tunggu menit tas turun sempat
4,positive,sejajar layan meal jalan salah ciri full service raih group sengaja kompetisi ceruk pasar kelas saing segment tingkat gaung frequent flyer member benefit ciri full service airline beda lcc low cost carrier maju kualitas layan full service masyarakat semangat
5,positive,tengah mahal harga tiket harga wajar service tumpang baiksehingga faktor harga wajar fasilitas akomodasi pilih bagasi pelit bawa oleholeh
4,positive,rute jakartajogja batam jakarta bagus ruang lega staff ramah snack layan tonton film jalan harga jangkau garuda layan kualitas tara
5,positive,tournament mancing morotai island booking berangkat telp berita kejut bilang flight cancel ternate connect bla blasetelah urus mancing kemarin mancing palu rani ubah alat pancing bagasi angkut flight delay nyaman mudah benah samping murah commitment jaga tumpang tuju sesuai jadwalkeep it upbravo
4,positive,suka terbang harga tiket ekonomis lambat henti terbang pilih garuda indonesia minggu terbang kupang terbang upg sub operasi ragu delay insiden
4,positive,fasilitas lumayan pramugari ramahramah sopan senang
4,positive,flight from kdi to sub transit at upg terbang upg dapet flight ife upg sub ifenya snack roti ajaminumnua putih overall take off landingnya ife dieprbaruhi lagu nice job
5,positive,flight pagi jakarta cgk denpasar terminal take off tumpang final call bantu flight enak flight pagi matahari terbit blue sky bs jelajah bal pagi flight meal flight pagi bareng sarap order makan nasi goreng karage harga
5,positive,halllooo sekian ulas ulas airpenerbangan bandara adi sumarmo solo halim perdanakusuma kalo bilang mahal tiket lumayan kelas bilang fullservicedari segi interiorhiburan udah ragu nyaman banget crewnya ramah tapi bikin jumping inflight entertainmentnya headset cabin crew usul sih sedia mealnya kalo ditambahin gt biar kesan harga mahal ad nyoba sebenernya terbang lanjut pinang malaysia soekarno hatta tapiii hubung pengem review sempet review jd tentu pilih landing halim
5,positive,laku harga bagus ambil terbang terbang ambil terbang no delay rekomendasi pergi libur jadwal padat
4,positive,ribu makassar bal terbang mulus sayang crew cabin sahabat jam nampak senyum landing mulus banget
5,positive,harga murah nilai alam senang senang ideal terbang domestik singkat
4,positive,harga tiket lumayan jadwal terbang pilih rute rute tambah saran menggambil connecting flight lupa terbang kecewa jadwal beranta tau sebab delay slot banyak bandara sanggup imbang fasilitas efisiensi logo singa utama mangsa terbang alias monopoli terbang imbang mampu efisiensi ontime travel so for connecting flight big nono
5,positive,harga akal terbang domestik terbang singkat terbang milik makan ringan tumpang harap layan
4,positive,harga murah murah layan bagus suara bising berangkat snack
5,positive,tinggal dengar umum panggil ruang tunggu sadar tangan terbang lepas landas dekat layan langgan kejut lepas landas nama umum takimg off saran pergi kantor tangga temu tugas lupa nama ubah jadwal bayar heran beli jujur minimal jarang lambat rekomendasi jalur udara terbang terima kasih
5,positive,terbang singapore jakarta on time banget layan ramah menu makan sedia teman hibur film baru kesan terbang
5,positive,terbang lampung jakarta terbang jt lampung jakarta awan terbang lancar makan minum menit terbang ambil bagus lepas landas darat
5,positive,terbang thai layan murah nyaman jangkau
4,positive,bandara terbang cek in lancar layan ramah boarding terbang menit cepat senang informasi beritahukan detail cuaca cerah terbang nyaman guncang bandara adisucipto cepat kira
4,positive,embelembel bayar kapasitas bagasi ekstra tambah murah
4,positive,terbang rute harga spesial ramadhan puasa bel pagipagi terbang lcc nyaman ruang kaki nyaman apaapa kursi terbang lcc malaysia terbang airlines menit terbang terbang singkat palembang pangkal pinang terbang terbang kelas kelas bisnis terbang lcc rasa
5,positive,muas punya duduk nyaman ruang kaki lumayan luas kaki tekuk tiap kursi layar tonton fil dokumenter dengar musik dllfilm tawar lho sayang sedia headseat tawar snackmakanan gratis lho kenal khawatir kena delay bagaiman harga khawatir murah kadang murah banding sayang beum rute tawar moga depan buka rute medan domisili medan journey begins
5,positive,alam beri alam terbang menit bumi makasih pikir takut sesuai pikir buat nyamanwkwkwk mantapp
4,positive,jakartasemarang kondisi ramai musim mudik lebaran jadwal berangkat jadwal terbang tumpang sila segitu delay jadwal terbang tumpang sila gerak
4,positive,sekian thanks god ngalamin delay on time trip inirezeki sempet was was berita super delay
4,positive,mengunakan terbang pulang bal jakarta minggu harga lumayan mahal harga mahal terbang minggu mana orangorang jakarta libur terbang makan snack roti putih tvscreen layar tumpang fungsi rusak terbang sengaja mengfungsikan layarlayar kursi tumpang harga garuda bagan baik kerja fasilitas baik tingkat layan tara terbang garuda
4,positive,alam kecewa group dengan terbang on time tv modal earphone snack isi roti mineral terbang hibur film terbang singkatsehingga menyelesaikannyapadahal pilih film variatif
5,positive,alam proses check in cepat tumpang tugas check in ramah boarding cepat terbang berangkat tumpang sepi teman pindah duduk pintu darurat ruang kaki luas hibur pesawat oke untung bawa headset nikmat hibur gratis bawa beli terbang inflight meal roti terbang singkat bersih layan terbang oh iya pakai pramugari unik kebaya cantik hehehe
4,positive,alam berangkat batam jakarta class economy harga tiket lumayan murah layan bagus cemilan guna nomor kursi guna perhati duduk sesuai tiket milik
4,positive,coba tuju malang urus kerja unggul ruang kaki lega hibur masingmasing kursi berangkat tepat hut tni au terbang alami delay delay untung hibur tonton film tunggu berangkat earphone sedia tau sedia earphone jual pramugari info
4,positive,ragu inikarena kasusnyauntungnya sayatp kecewa berangkat jadwal tentu
4,positive,terbang senang umum arah jendela mana kecewa layar depan hibur salah layar depan hitam awak layar ajar ambil berekspektasi
4,positive,terbang khawatir lambat boarding aman delay boarding salah perhati lancar darat gemetar
4,positive,terbang pilih terbang sesuai terbang delay menit normal layan udara muas hibur terbang low budget flight bersih bagus
5,positive,sekian baguslandingnya enaknyaman staff ramah
4,positive,yanhg in time dar on time kelas bisnis klas ekonomi penuh pindah klas hibur tv colok charger sapai tuju hp tambah daya
4,positive,jadwal terbang on time schedule relasi waktudan makan minum layan pramugari ramah
5,positive,jam ontime layan muas tagih naik tingkat layan
4,positive,jarak bangku in flight entertainment oksekalipun film batas tdk film sedia terbang pd flight krn terbang singkat oleh roti mineral pd terbang no id cgksub alami landing smooth bumpy banting
5,positive,jarak kursi lega terbang anakanak suka pilih tayang hibur anak makan porsi lumayan pilih mineral teh kopi sedia airsickness bag anak rasa mual goncangan terbang pramugari ceroboh tumpah minum mineral teh lorong
4,positive,jarak kursi luas pramugari terbang senang bersih nyaman
4,positive,jarang banget sya terbang pekanbaru urus kerja self check in luar pintu berangkat bantu boarding makan terbang pilot copilot sapa tumpang keras suara seat nyaman ruang kaki lega lutut gak mepet seat nilai minus minim hibur nilai plus kue saji hangat gak jual inflight shop jual merchandise terbang lewat daerah turbulence pemberitahuan pilot landing mulus
4,positive,pekanbaru medan harga tiket murah kendala apa pernerbangan menit aman nyaman
4,positive,terbang pagi layan ontime sesuai tiket alam sebelumsebelumnya siang sore malam delay
4,positive,jujur alam pertma coba pasca celaka jadi pakai delay ber jamjam alami landing kasar cuman alam rasa beda berangkat ontime landing nyaman sedia flight entertainment airfi bosan jalan pkusub baik layan ambil hati langgan oh muat bagasi tp mbak baik hati tambah bagasi
4,positive,kabin luas bersih lega hibur film pilih makan layan pramugari mantap jadwal
5,positive,pakai berekspetasi berangkat terbang kemungkina delay menit kebanyakanon time terbang sore delay you get what you pay any way terimakasih kasih tiket sesuai budged
5,positive,berani ambil first flight pake delay panggil wooowww early alias mana boarding menit aebelum berangkat rekomendasi utk first flight jarang delay pswrltnya parkir bersih sich krn dipake
4,positive,jadwal terbang sesuai schedule tumpang enjoy nyaman moga
4,positive,ln nasional rangka umroh direct transit kesan jadwal terbang on time layan optimal take off landing mulus guncang udara crew ramah kurang hibur on dashboard selimut standard crewnya ramah bersitegang bimbing sholat diri pintu darurat moga depan tingkat layan sisi hibur
4,positive,delay delay kelas ekonomi jurus surabaya balikpapan layan beda citilink sriwijaya dll beda pesan makan citilink airasia layan meal minum gratis garuda indonesia sriwijaya kelas bisnis hati hati bagasi jadi obrak abrik bagasi kru darat bagasi alami coba buka koper bagasi lebih tiket murah kecuali peak season harga benah suka delay kru darat suka ngutil bagasi
5,positive,berhatihati ambil terbang jalan perahu harga mahal terbang mudah lepas landas darat harga bagus terbang
4,positive,berangkat muat mudah delay benarbenar layan terbang harap
5,positive,langgan tugas bal lombok sulawesi kalimanta jakarta kota destinasi sekarng jatang delay flight surabaya batam buka oarng habis pulang libur surabaya
4,positive,jalan terbang indonesia terbang mudah pes layan bagus biaya rendah sedia pilih salah terbang alami lambat bagasi banyak terbang nyaman
4,positive,bayar eur tiket pulang pergi jakarta denpasar terbang airbus usia interior kabin bersih kursi nyaman ruang kaki bagus cm berangkat lambat salah staf bandara katering kapal layak beli terbang butuh terbang pulang boeing er ruang kaki milik kursi pintu darurat kursi regang kaki kualitas interior ok terbang kulit kursi usang simpul milik terbang singkat layan bayar uang pilih keluh asia
4,positive,ambil flight subuhbersama bayi check in layan terbang tingkat layan baik
5,positive,ambil bcz murah terbang domestik harga turun rute harga dubbel
4,positive,jalan pulau anak usaha wings indonesia harga jangkau layan makan lengkap modern muda awat staf bantu
4,positive,ambil transfer domestik thailand phuket bangkok makan menit cari opsi murah terbang harga tawar delay terbang lepas landas darat wifi nok sedia fasilitas duduk nyaman adil kaki sulit duduk staf lempar barang bawa terbang tag rapuh bagasi bantu benarbenar lempar bentur barang bawa milik harga rusak harap bawa bagasi kabin ps jatah bagasi gratis bagasi daftar tambah bagasi kabin boleh
5,positive,terbang domestik salah harga bagasi kl gratis makan ringan gratis terbang kru efisien bersih mesan mudah online guna
4,positive,terbang berkalikali thai layan konsisten terbang berangkat senang harga mesan mudah harga situs web harga tambah pajak dll opsi layananasuransi tambah mudah lewat
4,positive,terbang bandung bal layan kru bantu terbang mulus nikmat pandang jendela bayar makan minum harga baikbaik
5,positive,terbang denpasar lombok tahu terbang saudara sayap bagasi daftar sengat lebih bagasi bagus terbang terbang nyonya rumah ramah
4,positive,terbang bandara halim perdanakusuma terbang bandara nyaman bandara penuh terbang on time take off landing nyaman makan saji dingin
4,positive,terbang pagi jogja labu bajo salah satu harga miring pilih terbang labu bajo transit denpasar untung terbang telat konter checkin penuh
4,positive,berangkat datang bagus awat banyak kenal layan makan rekomendasi
4,positive,beli tiket kelas bisnis bangun siang tinggal checkin kelas bisnis upaya mepet sampaisampai bagasi bawa tugas saya lari he
4,positive,kemarin bandar lampung jakarta jadwal terbang pesan tiket agen terbang online kesal kirim jadwal reschedule keliru telpon nomor angkat telpon angkat jadwal reschedule kembali jadwal reschedule tumpang cemas nyaman moga reschedule
4,positive,kota laksana tugas dinas banjarmasin terbang malam on time
4,positive,tara via balikpapan terbang delay makassar balikpapan tua balikpapan tara transit terminal tunggu tara ganti gate
4,positive,pilih flight harga sesuai terbang sesuai jadwal take off landngnya mulus terima kasih
4,positive,nyata saudara area ruang tunggu info delay delaynya pas alas cuaca buruk apa alas sunnguh sebal
4,positive,kesan hibur mati sih bilang nie baik baik grup jarang delay fasilitas
4,positive,tepat pakai layan muas terbang kelas ekonomi
5,positive,kursi nyaman harga murah jatah bagasi seringsering promo good service
5,positive,layan counter check in tugas murah senyum pramugari ramah murah senyum tumpang servicenya gak kalah baik indonesia naek landingnya mulus duduk jarak oke banget banding sodaranya lair pesawat jenis airbus idk overall keluarga nyaman terbang lanjut layan
4,positive,layan full service budget jangkau jadwal makan ringan roti isi daging ayam kue bolu mineral gelas bs tambah gelas kopiteh utk lengkap aga pandu selamat sdh canggih tdk manual awak kabintapi sdh bs via layar lcd sandar kursi sedia hibur film bagus via lcd depan bs pilih suka uniknyaada colok usb kabel data tepi layar lcd shg bs fungsi sarana isi battere hp terbang trims
4,positive,layan mesan tiket online cepat murah fleksibel nilai unggul sayang atm bank otomatis hubung sistim bayar
5,positive,layan terbang full service milik group layan meal layar hibur keluar uang memdapatkan headset
4,positive,layan staf profesional milik bangsa tamu kapal kesan layan
4,positive,layan delay actually ruang kaki nyaman bangku nyaman bagasi tumpang tumpang bagasi rusak buka
4,positive,libur kupang sek direct flight sesuai group salah airline indonesia impresi customer experience gak bagus worried puji tuhan lancar gak delay direct flight hibur entertainment so far jalan lancar take off landing lancar kursi table lantai kotor bekas makan minum tumpah cairanminum remah makan tumpang flight bersih bersih terburuburu gak control
4,positive,terbang murah embelembel reputasi lambat outbound inbound staf checkin ramah minta duduk belah pintu darurat kaki hormat keluh biaya rendah mil
4,positive,ekonomi embelembel pergi siap ubah gat menit delay berangkat sempat ubah gerbang menit terbang terbang lancar kupang benarbenar senang sayang layan konsultasi informasi langgan terampil moga iring tumpang lambat menit dalam delay
4,positive,terbang biaya rendah bagasi checkin gratis ruang kaki makan minum tawar harga rendah layar hibur layan
4,positive,terbang murah suka bagasi gratis terbang harga murah online check in terbang internasional
4,positive,lau seringkali delay akhirakhir cenderun on time selamat moga kondisi tahan
4,positive,banyak milik modern ratarata kondisi terbang delay tingkat pesat terbang ok kursi banyak eropa terbang singkat apaapa harga tiket rendah harap layan kapal banding anggar ratarata untung milik jaring terbang terbang
5,positive,milik atur bagasi kabin khawatir milik terbang indonesia jakarta yogyakarta yogyakartadenpasar denpasarjakarta checkin bagasi kabin beban bagasi kabin tumpang bawa bagasi kabin normal xx
4,positive,tawar tiket murah kota indonesia mes murah harga dapat nama adik wilayah indonesia timur terbang malaysia thailand milik armada staf darat awak ramah terbang kotakota bagasi checkin gratis terbang senang guna jalan keliling pulau indonesia barat timur
4,positive,operasi boeing er sektor jakarta to denpasar checkin lancar umum bandara keras paham kendali boarding mudah hasil pindah kursi kosong pitch kursi ketat ratarata duka terbang mulus terbang
5,positive,moda transportasi low budget milik pribumi asli indonesia seringkali promo tiap rute
4,positive,terbang konsisten baik indonesia delay layan satusatunya temu minus ruang kaki kaki  terbang domestik milik kursi kelas bisnis sikap staf darat perhati kursi
4,positive,benak dalam pikir delay libur bawa ontime layan muas karna berlombalomba layan sepenuh hati sayang bersih temu boardingpass tumpang tanggal
4,positive,delayed pramugari komunikatif harga ekonomis cocok rantau kuliah kota
4,positive,baik sitem jadi delay ubah jadwal untung alami ubah lancar
4,positive,tuju palembang surabaya berangkat nyaman direct flight banding transit jakarta harga ekonomis
4,positive,udah delay on time banget jalan yogyakarta bal service muas sukses
4,positive,airlines premium izin bagasi kilogram gratis banyak ekonomi koper kadangkadang ambil barang pergi masuk tas beli tas ransel murah isi senang biaya bagasi baht airlines bangga milik sertifikasi selamat milik banyak periksa senang milik jamin milik terbang ekonomi thailand
4,positive,barubaru terbang hari kupang denpasar terbang nila pesawat bersih staf ramah bantu checkin ambil bagasi
4,positive,tingkat layan layan hari jarak kursi lambat lintas denpasar
4,positive,little bit surprise jalan surabaya jakarta lengkap tv monitor tuk hibur transit menit jakarta terbang medan layan lengkap tv monitor hibur
5,positive,lounge rapih bersih makan minum sedia rasanta kecewa layan ramah makan munuman
4,positive,lumayan terbang kecewa cuman inflight entertaiment televisi mati
5,positive,makan banget kaki luas harga jangkau pramugari baikbaik pemumpang turun kapten kokpit bilang terima kasih jalan neng banget
4,positive,standartlah kecewa puasa inti yaa standar sesuai harga
4,positive,layan check in bandara tuju muas harga mahal layan jadwal terbang nice
5,positive,diskon baik keliling cepat thailand murah nyaman saji kue terbang gratis satusatunya minus delay seringkali lambat
